brand,product_name,rating,review,discount,price_after_discount,price_before_discount,makeup_type
ESQA,Bitty Glow Bundle,5.0,0,0.2,180000,224000,Bundle
Studio Tropik,DreamSetter Airbrush Cover Cushion,5.0,3,0.15,152150,179000,Complexion
Mother of Pearl,So X-TRA! Hybrid Matte Foundation Peptides Infused SPF 40 PA++,5.0,5,0.05,189050,199000,Complexion
Guele Cosmetics,DUST Loose Powder,5.0,1,0.0,169000,169000,Powder
Sea Makeup,Lock It Matte Acne Setting Spray 100ml + Acne Blur and Set Loose Powder Bundle,5.0,0,0.05,152950,161000,Powder
Dazzle Me,Acne Armor Puff Perfection Cushion,5.0,1,0.1,59301,65890,Complexion
Innisfree,Tweety - No-Sebum Mineral Powder Green,5.0,1,0.1,93600,104000,Powder
Artisan Professionnel,COULEUR OPTIMISTE Pro Face Colour Highlighter,5.0,1,0.1,115200,128000,Highlighter
Elise,FeatherLITE DIY Lash Extension at home 01,5.0,1,0.0,137000,137000,Lash
Luxcrime,Harley Quinn Ultra Stay Eyeliner,5.0,1,0.12,95920,109000,Eyeliner
ETUDE,Oh~My Line,5.0,1,0.03,106700,110000,Unknown
ETUDE,Sebum Soak Powder,5.0,1,0.05,142500,150000,Powder
KAJA,Mochi Pop,5.0,1,0.0,349000,349000,Unknown
KAJA,Heart Melter,5.0,1,0.0,319000,319000,Unknown
Raine Beauty,FEEL GOOD ESSENTIALS SET,5.0,0,0.2,379000,473000,Bundle
Soulyu,Perfect UV Serum Foundation,5.0,2,0.35,120250,185000,Complexion
Mercredi,Mercredi luxe - MR 511,5.0,1,0.0,28000,28000,Unknown
Skintific,Glow Perfection Set,5.0,0,0.3,247093,352990,Bundle
Holika Holika,Mellow Gliding Slim Liner,5.0,2,0.0,128000,128000,Unknown
KIVA Cosmetics,Volurama Mascara,5.0,3,0.1,94500,105000,Mascara
Jacquelle Beaute,Jacquelle x Jazzy Exclusive Bundling Disney Inside Out Edition,5.0,0,0.33,366490,547000,Unknown
SASC,WhiteTen Miracle Flawless Powder,5.0,1,0.07,157635,169500,Powder
Soulyu,Precision Pro Matte Eyeliner,5.0,1,0.43,72960,128000,Eyeliner
About Tone,Nothing But Nude Foundation,5.0,2,0.1,251100,279000,Complexion
KIVA Cosmetics,Iconic Glow Highlighter,5.0,33,0.07,106950,115000,Highlighter
Rose All Day,Thunder Lash Mascara Series - Hyper Length & Volumizing,5.0,0,0.0,258000,258000,Mascara
Studio Tropik,COMPLEXION EXPERT DUO (Glowy + Neutral),5.0,0,0.11,195000,219000,Unknown
Focallure,Skin Filter Concealer,5.0,4,0.74,69000,267000,Concealer
Artisan Professionnel,Ã‰CLAT ROUGE Pro Lip Shine,5.0,1,0.1,97200,108000,Lip
O.Two.O,Lovemark Eyeshadow,5.0,1,0.4,119000,200000,Unknown
O.Two.O,Silky Glow Powder Blush,5.0,1,0.54,55000,120000,Blush
Mercredi,Mercredi - MR322,5.0,1,0.0,18000,18000,Unknown
Missha,Magic Cushion Cover Lasting Spf 50+/ Pa+++,5.0,2,0.39,243390,399000,Complexion
Elise,Elise Glamour 118,5.0,1,0.22,32682,41900,Unknown
Emina,Cosmic Lash Volume Mascara,5.0,5,0.0,70000,70000,Mascara
Instaperfect,Instaperfect Skinfocus Cover Foundation,5.0,3,0.0,171000,171000,Complexion
PinkFlash,Waterproof Auto Eyebrow Pencil,5.0,2,0.66,19000,56000,Brow
Focallure,Two-Way-Cake Pressed Powder,5.0,1,0.64,55000,151000,Powder
Blink Charm,Vibrant Volume #1- 1 Pair,5.0,2,0.17,49717,59900,Unknown
Missha,Magic Cushion Moist Up Spf 50+/pa+++,5.0,1,0.39,243390,399000,Complexion
Lavie Lash,Lavie Lash by Fauzia Hanum - Latte,5.0,1,0.0,60280,60280,Lash
Lavie Lash,Lavie Lash by Dany Barca - Essential,5.0,1,0.0,54780,54780,Lash
Lavie Lash,Lavie Lash by Dany Barca - Satu,5.0,2,0.0,60280,60280,Lash
Artisan Professionnel,Delicat 7472,5.0,3,0.0,58000,58000,Unknown
Artisan Professionnel,Voile 5523,5.0,4,0.0,50000,50000,Unknown
KOSE,Sekkisei Supreme Makeup Base,5.0,5,0.24,497040,654000,Complexion
Lavie Lash,Rosie Value Pack,5.0,1,0.0,198800,198800,Bundle
Lavie Lash,Amaryllis Value Pack,5.0,1,0.0,198800,198800,Bundle
Lavie Lash,Best Seller Value Pack,5.0,1,0.0,198800,198800,Bundle
Wardah,Wardah Special Bundle Free Tumbler,5.0,0,0.0,527000,527000,Bundle
Holika Holika,Lash Correcting Mascara Airy Lift Bundle  01 + 03,5.0,0,0.0,295000,295000,Mascara
Innisfree,Tweety - No-Sebum Mineral Powder Yellow,5.0,2,0.1,93600,104000,Powder
Guele Cosmetics,SCULPT Contour Stick,5.0,4,0.0,149000,149000,Contour
Jacquelle Beaute,Velvet Cloud Lip Set,5.0,0,0.65,90300,258000,Lip
Skintific,All Day Perfect Make-Up Set,5.0,0,0.32,195840,288000,Bundle
Bbia,BBIA Last Auto Gel Eyeliner Slim,5.0,1,0.8,22800,114000,Eyeliner
About Tone,Fix On Vibe Brow,5.0,6,0.3,90300,129000,Brow
Base,Aura Wonders Eyeshadow Palette - Gleaming Nude,5.0,2,0.45,103950,189000,Palette
Focallure,Poreless Matte Cushion,5.0,3,0.64,119000,327000,Complexion
